1	7456995	4.0	0|3
1	7865133	4.0	0|3
1	7907620	2.5	0|0
1	7850601	2.5	0|2
1	8268612	4.0	0|3
1	8219184	2.5	0|0
1	7418524	4.0	0|1
1	7671064	4.0	0|3
1	7862229	4.0	0|3
1	8599615	4.0	1|2
2	7459420	3.0	0|3
2	7412141	4.5	0|2
2	8435241	2.5	0|1
3	7132621	5.0	1|2
4	7446298	5.0	0|1
4	8034975	4.0	0|0
5	7533205	5.0	0|2
5	7286922	4.0	0|3
5	7286961	4.0	1|1
5	7533230	4.0	0|0
6	7459420	5.0	1|2
6	7638944	4.0	0|0
6	7966549	4.0	0|2
6	8208731	4.0	0|3
6	7940848	4.0	0|3
6	8302533	4.0	0|3
6	8095149	4.0	1|2
6	8209291	2.5	0|1
6	8434575	4.0	1|3
6	8489988	4.0	0|3
6	8561447	4.0	0|3
6	8589355	4.0	0|1
6	8158458	2.5	0|0
6	8717688	2.5	0|2
6	8676696	2.5	0|0
6	8750787	4.0	0|1
6	8560783	4.0	1|3
6	8849012	2.5	0|2
6	8736905	4.0	0|3
6	8736598	4.0	0|3
6	8589224	4.0	0|2
6	8930962	2.5	0|3
6	8936688	2.5	0|0
6	9070370	4.0	1|2
6	9076861	4.0	0|1
6	9085391	2.5	0|3
6	9102541	4.0	1|2
6	8980213	4.0	0|1
6	8259304	4.0	1|2
6	9255296	4.0	1|2
6	9277280	2.5	0|3
6	9295571	2.5	1|3
6	9305724	4.0	1|0
7	7338118	5.0	0|1
7	7685186	4.0	0|1
8	7306241	1.0	0|2
8	7033446	5.0	0|2
8	7703093	4.0	0|3
8	7149071	4.0	0|3
8	7933629	4.0	0|2
8	7727723	4.0	0|3
8	8622181	4.0	0|3
8	8622180	4.0	1|1
8	8622178	4.0	1|2
8	8622177	4.0	1|2
8	9028351	5.0	0|1
8	8523473	4.0	1|1
9	7274656	4.0	1|1
9	7934039	4.0	0|0
9	7924010	5.0	0|3
10	7558805	5.0	0|3
10	7637768	5.0	0|1
10	7706801	4.0	1|3
10	7722336	4.0	0|3
10	8090531	4.0	0|3
10	8984657	4.0	0|2
10	8967297	4.0	1|3
10	8991986	4.0	0|2
11	6772379	5.0	1|3
11	7676423	4.0	0|2
11	7675414	4.0	1|1
11	7678169	4.0	0|3
11	7712522	4.0	0|1
11	7746254	4.0	0|3
11	7757182	4.0	0|3
11	7738514	4.0	0|2
11	7774847	4.0	0|2
11	7784017	4.0	0|3
11	7353165	4.5	0|2
11	7797523	4.0	0|3
11	7812667	4.0	0|1
11	7332221	4.0	0|1
11	7806574	4.0	0|2
11	6418385	4.5	0|1
11	7839690	4.0	0|2
11	7724890	2.5	1|2
11	7784492	2.5	0|2
11	7738472	2.5	0|1
11	7738502	2.5	1|2
11	7738526	2.5	1|0
11	7792094	2.5	0|1
11	7767325	2.5	0|3
11	7855619	4.0	0|1
11	7859274	4.0	0|3
11	7443312	5.0	0|1
11	7875318	4.0	0|2
11	7875302	4.0	0|0
11	7901715	4.0	1|2
11	7773316	2.5	0|3
11	7460042	2.5	1|2
11	7479619	2.5	1|3
11	7529620	2.5	1|1
11	7775600	4.0	0|3
11	7746369	2.5	0|2
11	8057542	4.0	1|3
11	7907788	2.5	0|1
11	7683804	2.5	0|2
11	7551984	4.0	0|0
11	8076600	4.0	0|3
11	7993557	4.0	0|1
11	7859015	4.0	1|1
11	8096701	4.0	0|1
11	8104086	4.0	1|3
11	7647045	4.0	0|3
11	7986385	4.0	0|3
11	7717155	4.0	0|3
11	8160662	4.0	1|3
11	8161681	4.0	0|0
11	8202642	4.0	0|3
11	8219865	4.0	1|1
12	7521773	3.5	0|3
12	7521491	4.0	0|3
