1	100000	2.0	1387445118
2	100001	2.0	1387445067
2	106478	3.0	1387700795
2	107684	3.0	1387751882
2	108524	4.0	1387793167
2	110334	4.0	1387871541
2	110721	2.0	1387895827
3	100002	4.0	1387444997
3	108718	3.0	1387804176
3	111885	2.0	1387977197
3	114458	5.0	1388100583
3	101389	5.0	1388481277
4	100003	4.0	1387445809
4	120192	4.0	1388616892
5	100004	3.0	1387445434
5	102024	5.0	1387547104
5	108432	2.0	1387788057
5	101362	3.0	1387902685
6	100005	4.0	1387446406
7	100006	4.0	1387446228
8	100007	3.0	1387446458
8	103597	2.0	1387572780
8	105195	3.0	1387643983
8	105279	4.0	1387647979
8	105710	5.0	1387712492
8	106772	2.0	1387719905
9	100008	3.0	1387445635
10	100009	4.0	1387445456
10	103159	5.0	1387921131
10	114412	2.0	1388099490
10	102139	4.0	1388162646
10	100452	4.0	1388261861
10	120973	4.0	1388394066
11	100010	4.0	1387446386
11	113356	3.0	1388063631
11	119562	4.0	1388336973
12	100011	5.0	1387446362
13	100012	4.0	1387446280
13	105107	2.0	1387643058
13	104594	3.0	1387807370
14	100013	3.0	1387445363
14	100048	3.0	1387447578
14	100404	4.0	1387764036
14	100830	4.0	1387812781
14	115279	3.0	1388148496
14	114236	5.0	1388153048
14	102309	2.0	1388369827
14	103076	4.0	1388517818
15	100014	4.0	1387446029
15	113190	4.0	1388052305
15	106770	4.0	1388361263
16	100015	5.0	1387446579
17	100016	2.0	1387446297
17	102868	4.0	1387790062
17	104681	2.0	1387908166
17	102355	5.0	1388413340
18	100017	3.0	1387446212
18	100570	3.0	1387496813
18	109890	4.0	1387847080
19	100018	5.0	1387445658
19	121109	5.0	1388403029
20	100019	5.0	1387446529
21	100020	5.0	1387445958
21	101504	4.0	1387496092
21	108421	3.0	1387787021
21	114648	3.0	1388109825
21	105403	4.0	1388209754
22	100021	5.0	1387446995
22	113910	3.0	1388645259
23	100022	3.0	1387445629
24	100023	4.0	1387445854
24	102408	4.0	1387531245
24	106441	5.0	1387698453
24	106544	5.0	1387705074
24	107575	5.0	1387749307
24	100851	3.0	1387955193
24	120870	5.0	1388387828
24	109828	5.0	1388563694
25	100024	1.0	1387446027
25	100061	5.0	1387448018
25	100913	5.0	1388031527
