1	100000	2.0	0|1
2	100001	2.0	0|1
2	106478	3.0	1|1
2	107684	3.0	1|3
2	108524	4.0	0|1
2	110334	4.0	0|1
2	110721	2.0	0|2
3	100002	4.0	0|1
3	108718	3.0	0|2
3	111885	2.0	0|2
3	114458	5.0	0|3
3	101389	5.0	0|1
4	100003	4.0	0|1
4	120192	4.0	0|3
5	100004	3.0	0|1
5	102024	5.0	0|2
5	108432	2.0	0|1
5	101362	3.0	0|2
6	100005	4.0	0|1
7	100006	4.0	0|1
8	100007	3.0	0|1
8	103597	2.0	0|3
8	105195	3.0	1|2
8	105279	4.0	1|2
8	105710	5.0	1|1
8	106772	2.0	1|2
9	100008	3.0	0|1
10	100009	4.0	0|1
10	103159	5.0	0|3
10	114412	2.0	0|3
10	102139	4.0	0|2
10	100452	4.0	1|3
10	120973	4.0	0|1
11	100010	4.0	0|1
11	113356	3.0	0|2
11	119562	4.0	1|2
12	100011	5.0	0|1
13	100012	4.0	0|1
13	105107	2.0	1|2
13	104594	3.0	0|2
14	100013	3.0	0|1
14	100048	3.0	0|1
14	100404	4.0	1|3
14	100830	4.0	0|2
14	115279	3.0	0|2
14	114236	5.0	0|2
14	102309	2.0	1|3
14	103076	4.0	0|3
15	100014	4.0	0|1
15	113190	4.0	0|1
15	106770	4.0	1|3
16	100015	5.0	0|1
17	100016	2.0	0|1
17	102868	4.0	0|1
17	104681	2.0	0|3
17	102355	5.0	0|2
18	100017	3.0	0|1
18	100570	3.0	0|3
18	109890	4.0	0|3
19	100018	5.0	0|1
19	121109	5.0	0|1
20	100019	5.0	0|1
21	100020	5.0	0|1
21	101504	4.0	0|3
21	108421	3.0	0|1
21	114648	3.0	0|3
21	105403	4.0	1|0
22	100021	5.0	0|1
22	113910	3.0	0|1
23	100022	3.0	0|1
24	100023	4.0	0|1
24	102408	4.0	0|1
24	106441	5.0	1|1
24	106544	5.0	1|1
24	107575	5.0	1|3
24	100851	3.0	0|1
24	120870	5.0	0|1
24	109828	5.0	0|1
25	100024	1.0	0|1
25	100061	5.0	0|1
25	100913	5.0	0|0
26	100025	5.0	0|1
27	100026	5.0	0|1
27	107805	5.0	1|3
