1	100000	2	0|1
2	100001	2	0|1
3	100002	4	0|1
4	100003	4	0|1
5	100004	3	0|1
6	100005	4	0|1
7	100006	4	0|1
8	100007	3	0|1
9	100008	3	0|1
10	100009	4	0|1
11	100010	4	0|1
12	100011	5	0|1
13	100012	4	0|1
14	100013	3	0|1
15	100014	4	0|1
16	100015	5	0|1
17	100016	2	0|1
18	100017	3	0|1
19	100018	5	0|1
20	100019	5	0|1
21	100020	5	0|1
22	100021	5	0|1
23	100022	3	0|1
24	100023	4	0|1
25	100024	1	0|1
26	100025	5	0|1
27	100026	5	0|1
28	100027	4	0|1
29	100028	5	0|1
30	100029	5	0|1
31	100030	3	0|1
32	100031	5	0|1
33	100032	4	0|1
34	100033	2	0|1
35	100034	3	0|1
36	100035	4	0|1
37	100036	5	0|1
38	100037	4	0|1
39	100038	4	0|1
40	100039	4	0|1
41	100011	5	0|1
42	100040	3	0|1
43	100041	5	0|1
44	100042	2	0|1
45	100043	4	0|1
46	100044	4	0|1
47	100045	3	0|1
48	100046	4	0|1
49	100047	4	0|1
14	100048	3	0|1
50	100049	4	0|1
51	100050	5	0|1
52	100051	3	0|1
53	100052	3	0|1
54	100053	4	0|1
55	100054	4	0|1
56	100055	3	0|1
57	100056	5	0|1
58	100057	5	0|1
59	100058	4	0|1
60	100059	2	0|1
61	100060	4	0|1
25	100061	5	0|1
62	100062	4	0|1
63	100063	5	0|1
64	100064	5	0|1
65	100065	3	0|1
66	100066	5	0|1
67	100067	4	0|1
68	100068	2	0|1
69	100069	3	0|1
70	100070	4	0|1
71	100071	5	0|1
72	100072	3	0|1
73	100073	4	0|1
74	100074	5	0|1
75	100075	5	0|1
76	100076	4	0|1
28	100077	4	0|1
77	100078	5	0|1
78	100079	4	0|1
79	100080	4	0|1
80	100081	3	0|1
81	100082	5	0|1
82	100083	4	0|1
83	100084	4	0|1
84	100085	5	0|1
85	100086	5	0|1
86	100087	3	0|1
87	100088	2	0|1
88	100089	5	0|1
89	100090	4	0|1
90	100091	5	0|1
91	100025	5	0|1
92	100092	5	0|1
38	100093	5	0|1
93	100094	2	0|1
94	100095	5	0|1
95	100050	5	0|1
96	100096	3	0|1
97	100097	2	0|1
98	100098	2	0|1
68	100099	4	0|1
99	100100	5	0|1
100	100101	4	0|1
101	100102	3	0|1
102	100103	4	0|1
103	100104	4	0|1
104	100105	4	0|1
105	100106	2	0|1
70	100107	3	0|1
106	100108	5	0|1
107	100109	3	0|1
108	100110	5	0|1
109	100111	3	0|1
110	100112	4	0|1
111	100113	3	0|1
78	100114	3	0|1
112	100115	5	0|1
